,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
40,,"05/848,353",,10439271,B60R 22/24 (20130101); Y10T 24/4764 (20150115),"November 3, 1977","January 1, 1980","4,181,359",#4181359,True
41,,"05/927,853",General Motors Corporation,25455364,B60T 13/586 (20130101); B60T 13/74 (20130101),"July 25, 1978","January 1, 1980","4,181,366",#4181366,True
42,,"05/879,857",Toyota Jidosha Kogyo Kabushiki Kaisha,9823143,B60T 8/1831 (20130101); B60T 8/282 (20130101); B60T 11/34 (20130101),"February 22, 1978","January 1, 1980","4,181,370",#4181370,True
43,,"05/864,703",Socapex,9181804,G02B 6/3838 (20130101); G02B 6/3874 (20130101); G02B 6/3851 (20130101),"December 27, 1977","January 1, 1980","4,181,400",#4181400,True
44,,"05/921,838",,25446057,A61B 3/103 (20130101); A61B 5/0484 (20130101),"July 3, 1978","January 1, 1980","4,181,407",#4181407,True
45,,"05/865,438",Hoechst Aktiengesellschaft,5996988,G03D 7/00 (20130101),"December 29, 1977","January 1, 1980","4,181,420",#4181420,True
46,,"05/915,303","Mita Industrial Co., Ltd.",13411720,B65H 3/0669 (20130101); G03G 15/28 (20130101),"June 12, 1978","January 1, 1980","4,181,424",#4181424,True
47,,"05/930,385",,25459285,E01C 11/02 (20130101); E01C 15/00 (20130101); E01C 19/4853 (20130101); E01C 2301/20 (20130101),"August 2, 1978","January 1, 1980","4,181,449",#4181449,True
48,,"05/778,372",Wallace Murray Corp.,25113114,F04D 25/04 (20130101); F04D 29/441 (20130101); F04D 29/624 (20130101); F05B 2230/10 (20130101); Y10T 29/49243 (20150115); F05D 2220/40 (20130101),"March 17, 1977","January 1, 1980","4,181,466",#4181466,True
49,,"05/886,231",Caterpillar Tractor Co.,25388664,F01C 9/005 (20130101),"March 13, 1978","January 1, 1980","4,181,478",#4181478,True
50,,"05/871,285",Borg-Warner Corporation,25357121,F01C 1/104 (20130101); F01C 21/008 (20130101),"January 23, 1978","January 1, 1980","4,181,479",#4181479,True
51,,"05/807,534","Tokai Seiki Co., Ltd.",13463890,F23Q 2/50 (20130101); F23Q 2/40 (20130101),"June 17, 1977","January 1, 1980","4,181,490",#4181490,True
52,,"05/956,301",United Technologies Corporation,25498050,C01B 3/34 (20130101); C10G 65/04 (20130101); H01M 8/06 (20130101),"October 30, 1978","January 1, 1980","4,181,503",#4181503,True
53,,"05/827,867",Technology Application Services Corp.,27094688,C10J 3/20 (20130101); H05B 7/00 (20130101); H05H 1/32 (20130101); C10J 3/08 (20130101); C10J 3/30 (20130101); C10J 3/723 (20130101); C10J 3/74 (20130101); C10J 3/78 (20130101); C10J 2300/0916 (20130101); C10J 2300/093 (20130101); C10J 2300/0946 (20130101); C10J 2300/0976 (20130101); C10J 2300/1238 (20130101); C10J 2300/1675 (20130101),"August 26, 1977","January 1, 1980","4,181,504",#4181504,True
54,,"05/896,931",General Electric Company,27044555,B01J 3/062 (20130101); C09K 3/1409 (20130101); B01J 2203/062 (20130101); B01J 2203/0655 (20130101); B01J 2203/069 (20130101),"April 17, 1978","January 1, 1980","4,181,505",#4181505,True
55,,"05/790,982","Toyobo Co., Ltd.",27316839,B01D 39/1623 (20130101); B01D 39/2065 (20130101); B01D 39/2082 (20130101); B01D 53/02 (20130101); B32B 5/08 (20130101); B32B 5/06 (20130101); B32B 5/26 (20130101); B01D 39/2017 (20130101); B32B 2262/106 (20130101); B01D 2239/0613 (20130101); B01D 2239/064 (20130101); B01D 2239/0659 (20130101); B01D 2239/0681 (20130101); B01D 2239/1291 (20130101); B32B 2305/08 (20130101),"April 26, 1977","January 1, 1980","4,181,513",#4181513,True
56,,"05/872,112",Imperial Chemical Industries Limited,27257667,A01N 43/50 (20130101); A01N 43/653 (20130101); C07D 231/12 (20130101); C07D 233/56 (20130101); C07D 249/08 (20130101),"December 22, 1977","January 1, 1980","4,181,518",#4181518,True
57,,"05/871,981","L'Air Liquide, Societe Anonyme pour l'Etude et l'Exploitation des",27250328,B22D 11/106 (20130101); C22B 9/006 (20130101),"January 23, 1978","January 1, 1980","4,181,522",#4181522,True
58,,"05/914,326",Jones & Laughlin Steel Corporation,25434200,C22C 38/60 (20130101),"June 12, 1978","January 1, 1980","4,181,524",#4181524,True
59,,"05/832,319",CPC International Inc.,25261320,C08B 30/02 (20130101); C08B 37/0057 (20130101),"September 12, 1977","January 1, 1980","4,181,534",#4181534,True
60,,"05/904,376",Alfa-Laval AB,20331338,C08B 30/044 (20130101); F26B 23/002 (20130101); Y02P 70/405 (20151101),"May 10, 1978","January 1, 1980","4,181,535",#4181535,True
61,,"05/898,583",Illinois Tool Works Inc.,25409670,B65H 45/22 (20130101); H01G 13/02 (20130101); Y10T 29/435 (20150115); Y10T 156/1015 (20150115),"April 21, 1978","January 1, 1980","4,181,552",#4181552,True
62,,"05/850,625",Riddell; Martin Clark,27258875,D21H 17/00 (20130101); D21H 17/375 (20130101); D21H 17/69 (20130101); D21H 23/08 (20130101),"November 11, 1977","January 1, 1980","4,181,567",#4181567,True
63,,"05/898,052",Hoffmann-La Roche Inc.,27108796,C07D 207/34 (20130101); C07D 209/38 (20130101); C12P 17/162 (20130101); A23K 20/195 (20160501); Y10S 435/886 (20130101),"April 20, 1978","January 1, 1980","4,181,573",#4181573,True
64,,"05/842,001",Boehringer Mannheim GmbH,5992031,C12N 9/0006 (20130101); C12Q 1/60 (20130101),"October 13, 1977","January 1, 1980","4,181,575",#4181575,True
65,,"05/922,560",Diamond Shamrock Corporation,27104292,C08J 5/2237 (20130101); C25B 13/04 (20130101); C08J 2327/12 (20130101),"July 7, 1978","*     January 1, 1980","4,181,592",#4181592,True
66,,"05/914,512",,27106366,B01J 49/75 (20170101),"June 12, 1978","*     January 1, 1980","4,181,605",#4181605,True
67,,"05/942,846",The United States of America as represented by the Secretary of the,25478685,B01D 39/06 (20130101); C02F 1/281 (20130101),"September 15, 1978","January 1, 1980","4,181,607",#4181607,True
68,,"05/877,484",Milchem Incorporated,25370066,C09K 8/14 (20130101); C10M 173/02 (20130101); C10M 2207/40 (20130101); C10M 2207/404 (20130101); C10M 2219/087 (20130101); C10M 2219/088 (20130101); C10M 2219/089 (20130101); C10N 2250/02 (20130101),"February 13, 1978","January 1, 1980","4,181,617",#4181617,True
69,,"05/955,860",Mobil Oil Corporation,25497459,C10M 141/10 (20130101); C10M 141/10 (20130101); C10M 129/10 (20130101); C10M 135/10 (20130101); C10M 133/44 (20130101); C10M 137/04 (20130101); C10M 2219/044 (20130101); C10M 2207/34 (20130101); C10M 2207/286 (20130101); C10M 2207/283 (20130101); C10M 2227/081 (20130101); C10M 2205/028 (20130101); C10M 2207/281 (20130101); C10M 2207/027 (20130101); C10M 2229/02 (20130101); C10M 2215/221 (20130101); C10M 2229/048 (20130101); C10M 2209/105 (20130101); C10M 2207/04 (20130101); C10M 2227/04 (20130101); C10M 2229/05 (20130101); C10M 2229/046 (20130101); C10M 2215/30 (20130101); C10M 2209/02 (20130101); C10M 2207/282 (20130101); C10M 2215/22 (20130101); C10M 2223/041 (20130101); C10M 2215/086 (20130101); C10M 2229/047 (20130101); C10M 2205/026 (20130101); C10M 2223/04 (20130101); C10M 2209/104 (20130101); C10M 2229/045 (20130101); C10M 2211/02 (20130101); C10M 2215/102 (20130101); C10N 2240/08 (20130101); C10M 2229/041 (20130101); C10M 2215/226 (20130101); C10M 2215/28 (20130101); C10M 2223/042 (20130101); C10M 2227/02 (20130101); C10M 2209/00 (20130101); C10N 2250/10 (20130101); C10M 2209/10 (20130101); C10M 2215/225 (20130101),"October 30, 1978","January 1, 1980","4,181,619",#4181619,True
70,,"05/863,446",Hoechst Aktiengesellschaft,19728438,C08J 9/28 (20130101); D06N 3/005 (20130101); C08J 2375/04 (20130101); Y10T 428/31551 (20150401); Y10T 428/31971 (20150401); Y10S 428/904 (20130101); Y10S 428/913 (20130101); Y10T 428/31558 (20150401),"December 22, 1977","January 1, 1980","4,181,637",#4181637,True
71,,"05/900,126","Toyo Soda Manufacturing Co., Ltd.",12801700,B01J 20/291 (20130101); B01J 2220/54 (20130101),"April 26, 1978","January 1, 1980","4,181,649",#4181649,True
72,,"05/839,530",Eastman Kodak Company,25279987,C09B 29/08 (20130101); D06P 1/18 (20130101); C09B 29/081 (20130101),"October 5, 1977","January 1, 1980","4,181,653",#4181653,True
73,,"05/912,729",Akzo N.V.,27260040,C08K 5/57 (20130101); C07F 7/226 (20130101); C08K 5/58 (20130101),"June 5, 1978","January 1, 1980","4,181,671",#4181671,True
74,,"05/954,943",The United States of America as represented by the Secretary of the Air,25496144,C07C 51/58 (20130101); C07C 51/58 (20130101); C07C 59/135 (20130101),"October 24, 1978","January 1, 1980","4,181,679",#4181679,True
75,,"05/949,362","Mitsubishi Petrochemical Co., Ltd.",14798372,C07C 29/095 (20130101); C07C 45/29 (20130101); C07C 45/292 (20130101); C07C 45/298 (20130101); C07C 45/305 (20130101); C07C 45/34 (20130101); C07C 45/39 (20130101); C07C 45/66 (20130101); C07C 49/203 (20130101); C07C 49/637 (20130101); C07C 49/643 (20130101); C07C 49/653 (20130101); C07C 403/02 (20130101); C07C 403/16 (20130101); C07C 45/29 (20130101); C07C 49/203 (20130101); C07C 45/292 (20130101); C07C 49/203 (20130101); C07C 45/298 (20130101); C07C 49/203 (20130101); C07C 45/305 (20130101); C07C 49/203 (20130101); C07C 45/34 (20130101); C07C 49/637 (20130101); C07C 45/39 (20130101); C07C 49/203 (20130101); C07C 45/66 (20130101); C07C 49/653 (20130101); C07C 29/095 (20130101); C07C 33/02 (20130101); C07C 2601/14 (20170501),"October 6, 1978","January 1, 1980","4,181,683",#4181683,True
76,,"05/935,052",Chevron Research Company,25466523,B01D 53/56 (20130101); F23J 7/00 (20130101),"August 18, 1978","January 1, 1980","4,181,705",#4181705,True
77,,"05/972,172","Nitto Electric Industrial Co., Ltd.",27465072,E04B 1/6812 (20130101); Y10T 428/23943 (20150401); Y10T 428/23979 (20150401); Y10T 428/1424 (20150115); Y10S 428/906 (20130101),"December 21, 1978","January 1, 1980","4,181,711",#4181711,True
78,,"05/893,631",Syntex,25401834,C07J 9/00 (20130101); C07J 21/00 (20130101); C07J 71/0031 (20130101),"April 5, 1978","January 1, 1980","4,181,720",#4181720,True
79,,"05/893,859",Smith Kline & French Laboratories Limited,27257964,C07D 233/88 (20130101); C07D 239/56 (20130101),"April 6, 1978","January 1, 1980","4,181,730",#4181730,True
80,,"05/918,074","Sumitomo Chemical Company, Limited",27311000,A61K 31/415 (20130101),"June 22, 1978","January 1, 1980","4,181,731",#4181731,True
81,,"05/861,314","Merck & Co., Inc.",27092121,C07D 477/08 (20130101),"December 16, 1977","January 1, 1980","4,181,733",#4181733,True
82,,"05/829,074","Litton Systems, Inc.",25253452,G05D 22/02 (20130101); H05B 6/645 (20130101); H05B 6/6458 (20130101); H05B 6/6482 (20130101),"August 30, 1977","January 1, 1980","4,181,744",#4181744,True
83,,"05/667,855",Polaroid Corporation,27033417,H01M 2/12 (20130101); H01M 2/1264 (20130101); H01M 4/06 (20130101); H01M 6/40 (20130101),"March 17, 1976","January 1, 1980","4,181,778",#4181778,True
84,,"06/001,317",Exxon Research & Engineering Co.,26668854,C08J 9/0014 (20130101); C08J 9/0066 (20130101); C08J 9/06 (20130101); C08J 2323/32 (20130101),"January 5, 1979","January 1, 1980","4,181,780",#4181780,True
85,,"05/945,030",Ford Motor Company,27127861,C08G 59/3209 (20130101); C08G 59/4071 (20130101); C09D 5/38 (20130101); C09D 133/10 (20130101); C09D 133/10 (20130101); C09D 133/10 (20130101); C08L 61/20 (20130101); C08L 2666/40 (20130101); C08L 2666/14 (20130101); C08L 2666/28 (20130101),"September 22, 1978","January 1, 1980","4,181,784",#4181784,True
86,,"05/895,830",Hundt & Weber Schalgerate GmbH,6006569,H01H 15/107 (20130101); H01H 71/46 (20130101),"April 13, 1978","January 1, 1980","4,181,838",#4181838,True
87,,"05/839,334",,25279457,D06F 58/26 (20130101); H05B 6/108 (20130101); H05B 6/145 (20130101); Y10T 74/1987 (20150115),"October 5, 1977","January 1, 1980","4,181,846",#4181846,True
88,,"05/845,653",Sharp Kabushiki Kaisha,28753191,G01B 3/1061 (20130101); G01B 7/026 (20130101); G06F 15/0275 (20130101); G01B 2003/1069 (20130101); G01B 2003/1094 (20130101),"October 26, 1977","January 1, 1980","4,181,848",#4181848,True
89,,"05/938,738","Varian Associates, Inc.",27115007,G01N 21/64 (20130101); G01N 30/74 (20130101); G01N 21/05 (20130101); G01N 21/0317 (20130101),"August 31, 1978","January 1, 1980","4,181,853",#4181853,True
90,,"05/945,852",Ferranti Limited,27257018,G01J 1/44 (20130101); H01L 31/02027 (20130101); H04B 10/69 (20130101); H04B 10/6911 (20130101),"September 26, 1978","January 1, 1980","4,181,863",#4181863,True
91,,"05/877,350",,14956272,H02P 25/14 (20130101),"February 13, 1978","January 1, 1980","4,181,876",#4181876,True
92,,"05/812,026",International Telephone and Telegraph Corporation,25208261,H04B 1/405 (20130101),"June 30, 1977","January 1, 1980","4,181,887",#4181887,True
93,,"05/923,194",Licentia Patent-Verwaltungs-G.m.b.H,6015784,H03G 7/004 (20130101),"July 10, 1978","January 1, 1980","4,181,896",#4181896,True
94,,"04/740,221",Westinghouse Electric Corp.,24975546,H01S 3/2232 (20130101),"June 26, 1968","January 1, 1980","4,181,897",#4181897,True
95,,"05/877,776","Tektronix, Inc.",25370694,H03H 7/24 (20130101),"February 14, 1978","January 1, 1980","4,181,903",#4181903,True
96,,"05/932,248",The United States of America as represented by the Secretary of the Navy,25462024,G06G 7/195 (20130101),"August 9, 1978","January 1, 1980","4,181,904",#4181904,True
97,,"05/860,388",Northrop Corporation,25333126,G01S 7/021 (20130101),"December 14, 1977","January 1, 1980","4,181,910",#4181910,True
98,,"05/916,976",International Business Machines Corporation,25438172,G11C 19/0875 (20130101); G11C 19/0883 (20130101),"June 19, 1978","January 1, 1980","4,181,977",#4181977,True
99,,"05/882,121","Formax, Inc.",25379927,A22C 7/00 (20130101),"February 28, 1978","January 8, 1980","4,182,003",#4182003,True
100,,"05/844,325",NCR Corporation,25292395,H01L 21/033 (20130101); H01L 21/187 (20130101); H01L 29/66575 (20130101),"October 21, 1977","January 8, 1980","4,182,023",#4182023,True
101,,"05/883,579",Novi-P.B.,9188687,H02K 1/2786 (20130101); H02K 15/03 (20130101); Y10T 29/49945 (20150115); Y10T 156/1089 (20150115); Y10T 29/53143 (20150115); Y10T 29/49012 (20150115),"March 6, 1978","January 8, 1980","4,182,027",#4182027,True
102,,"05/876,862",,25368730,B26B 21/52 (20130101),"February 10, 1978","January 8, 1980","4,182,031",#4182031,True
103,,"05/831,370",,25258895,A61C 8/00 (20130101); A61C 8/0095 (20130101),"September 8, 1977","January 8, 1980","4,182,034",#4182034,True
104,,"05/829,486",Kuraray Company Limited,14389758,A61L 24/0073 (20130101); C08K 5/41 (20130101); A61L 24/0073 (20130101); C08L 33/12 (20130101); C08K 5/41 (20130101); C08L 21/00 (20130101); A61K 6/0058 (20130101); A61K 6/0088 (20130101); A61K 6/0091 (20130101); A61K 6/0023 (20130101); C08L 33/068 (20130101); A61K 6/0023 (20130101); C08L 33/14 (20130101); Y10S 528/92 (20130101),"August 31, 1977","January 8, 1980","4,182,035",#4182035,True
105,,"05/959,892",American Gage & Machine Company,25502549,B07C 5/083 (20130101); G01B 5/08 (20130101); G01B 5/241 (20130101),"November 13, 1978","January 8, 1980","4,182,044",#4182044,True
106,,"05/878,229","Medical Plastics Laboratory, Inc.",25371626,G09B 23/285 (20130101),"February 16, 1978","January 8, 1980","4,182,054",#4182054,True
107,,"05/838,887",A B Servator,25772841,F41A 3/60 (20130101); F41A 21/06 (20130101); F41C 7/11 (20130101),"October 3, 1977","January 8, 1980","4,182,064",#4182064,True
108,,"05/857,932",,25327058,A63H 33/3027 (20130101),"December 6, 1977","January 8, 1980","4,182,071",#4182071,True
109,,"05/878,856","Mattel, Inc.",25372986,A63H 3/48 (20130101); A63H 13/12 (20130101),"February 17, 1978","January 8, 1980","4,182,076",#4182076,True
110,,"05/899,703",Esther Williams Swimming Pools,25411431,E02D 5/03 (20130101); E04H 4/0043 (20130101); F16B 5/0052 (20130101); E04H 2004/147 (20130101),"April 24, 1978","January 8, 1980","4,182,087",#4182087,True
111,,"05/906,383",,27256860,B65B 31/024 (20130101),"May 16, 1978","January 8, 1980","4,182,095",#4182095,True
112,,"05/887,775",Sitma S.p.A. Societa Italiana Macchine Automatiche,11189472,B65B 9/02 (20130101),"March 17, 1978","January 8, 1980","4,182,096",#4182096,True
113,,"05/866,428",Borg-Warner Corporation,25347593,H02K 1/20 (20130101); H02K 1/32 (20130101); H02K 9/19 (20130101),"January 3, 1978","January 8, 1980","4,182,137",#4182137,True
114,,"05/796,385",Daimler-Benz Aktiengesellschaft,5978243,B60K 17/24 (20130101); F16D 3/62 (20130101); F16D 3/78 (20130101),"May 12, 1977","January 8, 1980","4,182,139",#4182139,True
115,,"05/895,811",List; Hans,3536470,G01D 5/247 (20130101),"April 12, 1978","January 8, 1980","4,182,156",#4182156,True
116,,"05/887,488",,25391255,G01F 23/58 (20130101); G01N 33/24 (20130101),"March 17, 1978","January 8, 1980","4,182,157",#4182157,True
117,,"05/929,429",Kaiser Steel Corporation,25457848,G01N 3/12 (20130101),"July 31, 1978","January 8, 1980","4,182,160",#4182160,True
118,,"05/970,918",,25517704,G01N 15/04 (20130101),"December 19, 1978","January 8, 1980","4,182,161",#4182161,True
119,,"05/943,315","K. J. Law Engineers, Inc.",25479432,G01N 3/44 (20130101),"September 18, 1978","January 8, 1980","4,182,164",#4182164,True
120,,"05/899,607","Sundstrand Data Control, Inc.",25411279,G01L 1/086 (20130101); G01P 2015/0828 (20130101),"April 24, 1978","January 8, 1980","4,182,187",#4182187,True
121,,"05/789,003","Stonefield Developments,",10067961,B60K 17/28 (20130101); F16H 37/065 (20130101); B60K 17/3465 (20130101); Y10T 74/2186 (20150115),"April 19, 1977","January 8, 1980","4,182,199",#4182199,True
122,,"05/872,899",Birotronics Ltd.,9797079,G10H 3/09 (20130101),"January 27, 1978","January 8, 1980","4,182,214",#4182214,True
123,,"05/913,539",,25433376,B65B 51/067 (20130101),"June 7, 1978","January 8, 1980","4,182,223",#4182223,True
124,,"05/887,413",Concrete Industries,27422500,F23D 1/00 (20130101); F23K 1/00 (20130101); F23K 3/00 (20130101); F23K 3/02 (20130101); F23N 3/00 (20130101),"March 15, 1978","January 8, 1980","4,182,245",#4182245,True
125,,"05/793,946",Identicator Corporation,27093950,A61B 5/1172 (20130101); B41F 19/00 (20130101); B41L 19/00 (20130101),"May 5, 1977","January 8, 1980","4,182,261",#4182261,True
126,,"05/851,889",Siemens Aktiengesellschaft,5999709,G03G 15/2025 (20130101),"November 16, 1977","January 8, 1980","4,182,263",#4182263,True
127,,"05/890,512",Honda Giken Kogyo Kabushiki Kaisha,14678379,F02B 19/1028 (20130101); F02B 1/04 (20130101); F02F 2007/0092 (20130101); Y02T 10/125 (20130101),"March 27, 1978","January 8, 1980","4,182,286",#4182286,True
128,,"05/909,945","Nissan Motor Co., Limited",13349940,F02D 41/1479 (20130101); F02D 41/1481 (20130101),"May 26, 1978","January 8, 1980","4,182,292",#4182292,True
129,,"05/877,991",Tioga Air Heaters Co.,25371151,F24H 3/087 (20130101),"February 15, 1978","January 8, 1980","4,182,303",#4182303,True
