,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
19,,"06/102,408",Respitrace Corporation,10047421,A61B 5/1135 (20130101); G01B 7/24 (20130101); A61B 5/6804 (20130101); A61B 5/417 (20130101),"December 11, 1979","January 5, 1982","4,308,872",#4308872,True
20,,"06/201,817",Sulzer Brothers Limited,4357468,B60C 27/12 (20130101); Y10T 24/44744 (20150115); Y10T 24/3984 (20150115),"October 29, 1980","January 5, 1982","4,308,906",#4308906,True
21,,"06/200,927",,22743773,F28F 9/001 (20130101); F28F 9/26 (20130101); F28D 9/0037 (20130101); Y10S 165/373 (20130101),"October 27, 1980","January 5, 1982","4,308,915",#4308915,True
22,,"06/090,739",,22224080,E21B 34/02 (20130101); E21B 33/00 (20130101),"November 2, 1979","January 5, 1982","4,308,916",#4308916,True
23,,"06/105,189",Remlinger Manufacturing Company,22304538,A01B 19/10 (20130101); A01B 73/044 (20130101); A01B 63/22 (20130101),"December 19, 1979","January 5, 1982","4,308,920",#4308920,True
24,,"06/102,617",,22290774,E21B 7/005 (20130101); E21B 19/087 (20130101); E21B 7/028 (20130101),"December 11, 1979","January 5, 1982","4,308,923",#4308923,True
25,,"06/087,704",Kabushiki Kaisha Komatsu Seisakusho,15494305,B60K 13/04 (20130101); F01N 13/1805 (20130101); F01N 13/082 (20130101),"October 24, 1979","January 5, 1982","4,308,930",#4308930,True
26,,"06/107,801",Otis Elevator Company,22318550,B66B 5/027 (20130101),"December 27, 1979","January 5, 1982","4,308,935",#4308935,True
27,,"06/194,076",Container Corporation of America,22716209,B65D 5/5011 (20130101),"October 6, 1980","January 5, 1982","4,308,949",#4308949,True
28,,"06/087,662","Sun Coast Plastic Closures, Inc.",22206506,B65D 41/0442 (20130101); B65D 41/0435 (20130101),"October 24, 1979","January 5, 1982","4,308,965",#4308965,True
29,,"06/101,220",,22283569,B29C 45/43 (20130101); B65D 43/0208 (20130101); B65D 1/46 (20130101); B65D 2543/00898 (20130101); B65D 2543/00092 (20130101); B65D 2543/00296 (20130101); B65D 2543/0037 (20130101); B65D 2543/00472 (20130101); B65D 2543/005 (20130101); B65D 2543/00509 (20130101); B65D 2543/00518 (20130101); B65D 2543/00537 (20130101); B65D 2543/00555 (20130101); B65D 2543/00629 (20130101); B65D 2543/00648 (20130101); B65D 2543/00685 (20130101); B65D 2543/0074 (20130101); B65D 2543/00759 (20130101); B65D 2543/00796 (20130101); B65D 2543/00888 (20130101),"December 7, 1979","January 5, 1982","4,308,970",#4308970,True
30,,"06/148,908","Federal Paper Board Company, Inc.",22527976,B65D 5/2047 (20130101); B65D 5/246 (20130101); B65D 81/34 (20130101); B65D 81/343 (20130101); B65D 2581/3408 (20130101); B65D 81/3453 (20130101); B65D 2577/2025 (20130101); B65D 2577/2091 (20130101),"May 12, 1980","January 5, 1982","4,308,985",#4308985,True
31,,"06/090,190",The Garrett Corporation,22221701,B64D 13/08 (20130101); G05D 23/185 (20130101); Y02T 50/56 (20130101),"November 1, 1979","January 5, 1982","4,308,993",#4308993,True
32,,"06/059,945","Autotherm, Inc.",26739390,B60H 1/08 (20130101),"July 23, 1979","January 5, 1982","4,308,994",#4308994,True
33,,"06/125,789",American Safety Equipment Corporation,22421428,B60R 22/353 (20130101),"February 29, 1980","January 5, 1982","4,309,001",#4309001,True
34,,"06/139,961",Consolidated Controls Corporation,22489100,F16K 31/1221 (20130101); F16K 31/56 (20130101); F16K 31/1262 (20130101); Y10T 74/2066 (20150115),"April 14, 1980","January 5, 1982","4,309,022",#4309022,True
35,,"06/121,647",Goldfarb; Adolph E.,22397975,A63F 9/24 (20130101); A63F 2003/00425 (20130101); A63F 9/183 (20130101); A63F 2009/2494 (20130101); A63F 2009/2451 (20130101); A63F 2009/247 (20130101); A63F 2009/2477 (20130101); A63F 2009/2408 (20130101),"February 14, 1980","January 5, 1982","4,309,030",#4309030,True
36,,"06/187,984",,22691308,E01C 13/00 (20130101); A63C 19/00 (20130101),"September 17, 1980","January 5, 1982","4,309,031",#4309031,True
37,,"06/082,230","Optical Coating Laboratory, Inc.",22169872,G02B 5/0825 (20130101); G02B 5/26 (20130101); G02B 5/0891 (20130101),"October 5, 1979","January 5, 1982","4,309,075",#4309075,True
38,,"06/102,363",Commissariat a l'Energie Atomique,9197327,G02F 1/1533 (20130101); G02F 2001/1536 (20130101),"December 11, 1979","January 5, 1982","4,309,083",#4309083,True
39,,"06/151,107",AGFA-Gevaert Aktiengesellschaft,6071454,G03B 23/048 (20130101),"May 19, 1980","January 5, 1982","4,309,087",#4309087,True
40,,"06/059,618","Konishiroku Photo Industry Co., Ltd.",26432741,G03G 15/04018 (20130101); H04N 1/00254 (20130101); G03G 15/221 (20130101),"July 23, 1979","January 5, 1982","4,309,101",#4309101,True
41,,"06/118,007",The United States of America as represented by the Secretary of the Air,22376002,G01B 11/024 (20130101),"February 4, 1980","January 5, 1982","4,309,106",#4309106,True
42,,"06/111,154","Litton Systems, Inc.",22336894,G01C 19/70 (20130101),"January 11, 1980","January 5, 1982","4,309,107",#4309107,True
43,,"06/178,850",Sherwood Medical Industries Inc.,26715856,G01N 21/272 (20130101),"August 18, 1980","January 5, 1982","4,309,112",#4309112,True
44,,"06/062,982",Star Seimitsu Kabushiki Kaisha,14088511,B41J 2/265 (20130101),"August 2, 1979","January 5, 1982","4,309,116",#4309116,True
45,,"06/127,681",The Bendix Corporation,22431368,H01H 35/28 (20130101); H01H 35/2692 (20130101),"March 6, 1980","January 5, 1982","4,309,149",#4309149,True
46,,"06/042,575",Sevylor,6669492,B63H 16/06 (20130101); B63B 7/085 (20130101),"May 25, 1979","January 5, 1982","4,309,173",#4309173,True
47,,"06/171,777",Inmont Corporation,22625093,C09D 11/106 (20130101); D06P 5/001 (20130101); D06P 1/44 (20130101),"July 24, 1980","January 5, 1982","4,309,179",#4309179,True
48,,"06/193,994",Metallgesellschaft AG,6083302,C10J 3/02 (20130101); C10J 3/08 (20130101); C10L 5/04 (20130101); C10J 3/20 (20130101); C10J 2300/1807 (20130101); C10J 2300/0956 (20130101); C10J 2300/0959 (20130101); C10J 2300/0969 (20130101); C10J 2300/0976 (20130101); C10J 2300/0946 (20130101),"October 6, 1980","January 5, 1982","4,309,190",#4309190,True
49,,"06/134,905",Kennecott Corporation,22465537,C01B 21/064 (20130101); C03B 37/04 (20130101); C04B 35/62227 (20130101); H01M 2/145 (20130101); H01M 2/1613 (20130101); D04H 1/56 (20130101); C01P 2004/10 (20130101); Y10T 428/2916 (20150115); H01M 2300/0048 (20130101),"March 28, 1980","January 5, 1982","4,309,203",#4309203,True
50,,"06/097,027",Ciba-Geigy Corporation,4381788,A01N 25/32 (20130101); A01N 43/70 (20130101); A01N 47/30 (20130101); A01N 43/70 (20130101); A01N 43/40 (20130101); A01N 39/04 (20130101); A01N 39/02 (20130101); A01N 47/30 (20130101); A01N 43/40 (20130101); A01N 39/04 (20130101); A01N 39/02 (20130101); A01N 43/70 (20130101); A01N 47/30 (20130101); A01N 2300/00 (20130101); A01N 2300/00 (20130101),"November 21, 1979","January 5, 1982","4,309,210",#4309210,True
51,,"06/039,852",Bayer Aktiengesellschaft,6040083,C08K 5/17 (20130101); C09B 1/205 (20130101); C09B 1/48 (20130101); D06P 1/20 (20130101); C09B 1/58 (20130101); C09B 5/02 (20130101); C09B 5/24 (20130101); C09B 1/50 (20130101),"May 17, 1979","January 5, 1982","4,309,221",#4309221,True
52,,"06/078,783",Tokyo Shibaura Denki Kabushiki Kaisha,26459721,H01L 21/268 (20130101); H01L 21/768 (20130101); H01L 21/32155 (20130101),"September 25, 1979","January 5, 1982","4,309,224",#4309224,True
53,,"06/037,268",U.S. Philips Corporation,19824361,G09F 9/372 (20130101),"May 9, 1979","January 5, 1982","4,309,242",#4309242,True
54,,"06/178,492",Stone & Webster Engineering Corporation,26766981,B01J 8/003 (20130101); C10G 9/32 (20130101); C10G 9/00 (20130101); C10G 2400/20 (20130101),"August 15, 1980","January 5, 1982","4,309,272",#4309272,True
55,,"06/105,190",Mobil Oil Corporation,22304542,C07C 7/13 (20130101); C07C 17/389 (20130101); C07C 29/76 (20130101); C07C 37/82 (20130101); C10G 25/03 (20130101); C07C 67/56 (20130101); C07C 37/82 (20130101); C07C 39/07 (20130101); C07C 29/76 (20130101); C07C 31/12 (20130101); C07C 67/56 (20130101); C07C 69/14 (20130101),"December 19, 1979","January 5, 1982","4,309,281",#4309281,True
56,,"06/151,738",,22540049,G01N 30/603 (20130101); G01N 30/6026 (20130101),"May 20, 1980","January 5, 1982","4,309,286",#4309286,True
57,,"06/119,169",,22382910,C07C 201/04 (20130101); C09K 15/06 (20130101); C07C 201/04 (20130101); C07C 203/00 (20130101); Y10S 149/118 (20130101); Y10S 149/119 (20130101),"February 6, 1980","January 5, 1982","4,309,303",#4309303,True
58,,"06/152,642",W. R. Grace & Co.,22543772,B01J 20/18 (20130101); B01J 29/7019 (20130101); B01J 29/80 (20130101); C01B 39/205 (20130101); C07C 2/00 (20130101); C07C 2/00 (20130101); C07C 15/00 (20130101); B01J 29/084 (20130101); B01J 29/088 (20130101); B01J 2229/26 (20130101); B01J 2229/36 (20130101); C07C 2529/70 (20130101); B01J 2229/42 (20130101),"May 23, 1980","January 5, 1982","4,309,313",#4309313,True
59,,"06/160,487",Sterling Drug Inc.,22577070,C09D 9/005 (20130101),"June 18, 1980","January 5, 1982","4,309,322",#4309322,True
60,,"06/080,637",Owens-Corning Fiberglas Corporation,26763743,C03C 25/26 (20130101); Y10T 428/2964 (20150115); Y10T 428/2962 (20150115),"October 1, 1979","January 5, 1982","4,309,326",#4309326,True
61,,"06/236,225",Hitachi Chemical Company Ltd.,22888641,C08F 265/04 (20130101); C08F 277/00 (20130101); C08G 18/6705 (20130101); C08G 18/815 (20130101); D21H 19/56 (20130101); C08F 265/04 (20130101); C08F 216/12 (20130101); C08F 277/00 (20130101); C08F 216/12 (20130101),"February 19, 1981","January 5, 1982","4,309,330",#4309330,True
62,,"06/165,583",Abbott Laboratories,22599529,C07K 5/06191 (20130101),"July 3, 1980","January 5, 1982","4,309,342",#4309342,True
63,,"06/210,210",Eli Lilly and Company,22782014,C07K 14/702 (20130101); C07K 5/1016 (20130101); A61K 38/00 (20130101),"November 25, 1980","January 5, 1982","4,309,343",#4309343,True
64,,"06/156,965",Ciba-Geigy Corporation,4297467,C07C 327/58 (20130101),"June 6, 1980","January 5, 1982","4,309,360",#4309360,True
65,,"06/114,423",Symphar S.A.,26270548,A61K 31/66 (20130101); C07F 9/3808 (20130101); C07F 9/3839 (20130101); C07F 9/4006 (20130101); C07F 9/4025 (20130101); C07F 9/4056 (20130101); C07F 9/3882 (20130101); Y10S 514/866 (20130101),"January 22, 1980","January 5, 1982","4,309,364",#4309364,True
66,,"06/081,607",AMP Inc.,22165214,B29C 45/0003 (20130101),"October 3, 1979","January 5, 1982","4,309,370",#4309370,True
67,,"06/073,883","Plastic Molders Supply Co., Inc.",27372370,B29C 45/0001 (20130101); C09C 3/08 (20130101); C08J 3/22 (20130101); C09B 67/006 (20130101); C09B 67/0095 (20130101); C09C 3/006 (20130101); C09C 3/045 (20130101); C01P 2004/20 (20130101); C01P 2004/32 (20130101); C01P 2004/38 (20130101); C01P 2004/50 (20130101); C01P 2004/61 (20130101); C01P 2004/62 (20130101); C01P 2004/80 (20130101); C01P 2006/60 (20130101); C01P 2004/12 (20130101),"September 10, 1979","*     January 5, 1982","4,309,374",#4309374,True
68,,"06/178,230",Bayer Aktiengesellschaft,6078590,B60C 1/00 (20130101); B29C 39/02 (20130101); C08G 18/12 (20130101); C08G 18/10 (20130101); B29C 41/047 (20130101); B29C 45/2616 (20130101); C08G 18/10 (20130101); C08G 18/3821 (20130101); C08G 18/10 (20130101); C08G 18/3237 (20130101); C08G 18/12 (20130101); C08G 18/3225 (20130101); C08G 2380/00 (20130101),"August 14, 1980","January 5, 1982","4,309,378",#4309378,True
69,,"06/191,273",Hoechst Aktiengesellschaft,6082330,B01D 53/56 (20130101); C01B 21/40 (20130101),"September 26, 1980","January 5, 1982","4,309,396",#4309396,True
70,,"06/139,117",A. Nattermann & Cie. GmbH,6068138,A61K 9/0019 (20130101); A61K 31/19 (20130101); A61K 31/405 (20130101); A61K 31/685 (20130101); A61K 47/544 (20170801); A61K 47/24 (20130101); A61K 31/685 (20130101); A61K 31/405 (20130101); A61K 31/19 (20130101),"April 10, 1980","January 5, 1982","4,309,420",#4309420,True
71,,"06/127,984",The Green Cross Corporation,13983232,C07D 487/04 (20130101),"March 4, 1980","January 5, 1982","4,309,437",#4309437,True
72,,"06/141,938",,22497890,A22C 29/02 (20130101); A23B 4/08 (20130101); A23B 4/066 (20130101),"April 21, 1980","January 5, 1982","4,309,449",#4309449,True
73,,"06/192,586",GAF Corporation,22710294,B05D 3/067 (20130101); B05D 3/068 (20130101); B41M 7/0045 (20130101); B44F 1/02 (20130101); B05D 7/546 (20130101),"October 1, 1980","January 5, 1982","4,309,452",#4309452,True
74,,"06/116,308",Battelle-Institut e.V.,6061426,C08J 7/12 (20130101),"January 28, 1980","January 5, 1982","4,309,453",#4309453,True
75,,"06/137,246",,26835069,C23C 18/28 (20130101); H05K 3/181 (20130101); H05K 1/0306 (20130101),"April 4, 1980","January 5, 1982","4,309,454",#4309454,True
76,,"06/196,477","Bell Telephone Laboratories, Incorporated",26891949,C23C 14/14 (20130101); C23C 14/0694 (20130101),"October 14, 1980","January 5, 1982","4,309,460",#4309460,True
77,,"05/844,310",Ato Chimie,9179403,C08J 3/005 (20130101); B29C 48/022 (20190201); B29C 48/06 (20190201); B29C 48/07 (20190201); B29C 48/08 (20190201); Y10T 428/1379 (20150115); B29C 48/10 (20190201); B29C 48/12 (20190201); Y10T 428/31928 (20150401); Y10T 428/31935 (20150401); Y10T 428/3192 (20150401); B29C 48/09 (20190201),"October 21, 1977","January 5, 1982","4,309,465",#4309465,True
78,,"06/138,061","Kanebo, Ltd.",26436494,D01F 1/09 (20130101); D01F 8/04 (20130101); D02G 3/441 (20130101); Y10T 428/2931 (20150115); Y10T 428/2918 (20150115); Y10T 428/2924 (20150115); Y10T 428/30 (20150115); Y10T 428/2927 (20150115); Y10T 428/2973 (20150115),"April 7, 1980","*     January 5, 1982","4,309,479",#4309479,True
79,,"06/077,987",,22141191,B05D 3/08 (20130101); B05D 5/12 (20130101); B29C 59/08 (20130101); B05D 2201/00 (20130101); B05D 2252/02 (20130101); Y10T 428/3154 (20150401); B29K 2027/18 (20130101); B29K 2707/04 (20130101); Y10T 428/31544 (20150401),"September 24, 1979","January 5, 1982","4,309,483",#4309483,True
80,,"06/237,001","Motorola, Inc.",22891921,C03C 3/091 (20130101); C03C 8/24 (20130101); Y10T 403/217 (20150115),"February 23, 1981","January 5, 1982","4,309,507",#4309507,True
81,,"06/171,689","Chemische Werke Huels, Aktiengesellschaft",6076714,C08F 210/18 (20130101); C08F 210/04 (20130101); C08F 210/18 (20130101); C08F 4/642 (20130101); C08F 210/18 (20130101); C08F 4/6426 (20130101); C08F 210/06 (20130101); C08F 210/06 (20130101); C08F 210/08 (20130101); C08F 210/16 (20130101); C08F 2500/17 (20130101),"July 24, 1980","January 5, 1982","4,309,522",#4309522,True
82,,"06/161,728",Gulf Oil Corporation,22582458,C09J 4/00 (20130101); C09J 4/00 (20130101); C08F 222/1006 (20130101); Y10T 428/31601 (20150401); Y10T 428/31551 (20150401); Y10T 428/31605 (20150401),"June 20, 1980","January 5, 1982","4,309,524",#4309524,True
83,,"06/149,956","Takeda Chemical Industries, Ltd.",26390390,C08J 3/16 (20130101); C08J 2323/08 (20130101),"May 15, 1980","January 5, 1982","4,309,525",#4309525,True
84,,"06/152,816",Rhone-Poulenc-Textile,9139371,C08G 69/02 (20130101); C08J 3/02 (20130101); C08K 3/30 (20130101); C08K 3/30 (20130101); C08L 77/00 (20130101); C08J 2377/00 (20130101),"May 23, 1980","January 5, 1982","4,309,531",#4309531,True
85,,"06/161,717","Kanebo, Ltd.",15558736,D06M 14/08 (20130101); Y10T 442/2484 (20150401); Y10T 442/2434 (20150401); Y10T 442/2549 (20150401); Y10T 428/2965 (20150115); Y10T 428/2969 (20150115); Y10T 428/2964 (20150115); Y10T 428/2967 (20150115); Y10T 442/2352 (20150401),"June 20, 1980","January 5, 1982","4,309,560",#4309560,True
86,,"06/019,389",Owens-Corning Fiberglas Corporation,21792945,H05B 3/0023 (20130101); C03B 7/07 (20130101),"March 12, 1979","January 5, 1982","4,309,567",#4309567,True
87,,"06/072,363",The Board of Trustees of the Leland Stanford Junior University,22107098,H04L 9/3236 (20130101); H04L 9/3247 (20130101); H04L 2209/38 (20130101); H04L 2209/30 (20130101),"September 5, 1979","January 5, 1982","4,309,569",#4309569,True
88,,"06/087,863",Omron Tateisi Electronics Co.,26472293,H03K 21/403 (20130101); H02J 9/061 (20130101),"October 24, 1979","January 5, 1982","4,309,623",#4309623,True
89,,"06/078,388",,22143738,B60Q 1/1415 (20130101); H05B 39/044 (20130101); Y02B 20/146 (20130101),"September 24, 1979","January 5, 1982","4,309,639",#4309639,True
90,,"06/119,510","Hitachi, Ltd.",12442634,G04F 5/06 (20130101); H03F 3/3001 (20130101); H03F 3/16 (20130101); H03B 5/364 (20130101),"February 7, 1980","January 5, 1982","4,309,665",#4309665,True
91,,"06/075,381",Xerox Corporation,22125344,B82Y 20/00 (20130101); G02B 6/4202 (20130101); H01S 5/18375 (20130101); H01S 5/34313 (20130101); H01S 5/18388 (20130101); H01S 5/026 (20130101); H01S 5/18308 (20130101); H01S 5/18369 (20130101); H01S 5/426 (20130101); H01S 5/2072 (20130101); H01S 5/2214 (20130101); H01S 5/2223 (20130101); H01S 5/2224 (20130101); H01S 5/3432 (20130101),"September 13, 1979","January 5, 1982","4,309,670",#4309670,True
92,,"06/134,485","Bell Telephone Laboratories, Incorporated",22463605,H04L 25/4915 (20130101),"March 27, 1980","January 5, 1982","4,309,694",#4309694,True
93,,"06/139,156","Compact Video Sales, Inc.",22485350,H01Q 15/162 (20130101); H01Q 1/27 (20130101),"April 11, 1980","January 5, 1982","4,309,708",#4309708,True
94,,"06/140,281",Ampex Corporation,22490545,H04N 5/217 (20130101),"April 14, 1980","January 5, 1982","4,309,723",#4309723,True
95,,"06/091,536",TRW Inc.,22228289,H02H 9/008 (20130101); E21B 33/0355 (20130101),"November 5, 1979","January 5, 1982","4,309,734",#4309734,True
96,,"06/101,718",,9215864,H04Q 1/023 (20130101); H04Q 1/146 (20130101),"December 10, 1979","January 5, 1982","4,309,736",#4309736,True
97,,"05/969,830",,25516050,B62J 6/00 (20130101),"January 25, 1979","January 5, 1982","4,309,741",#4309741,True
98,,"06/060,950",Hewlett-Packard Company,27369947,G06F 17/10 (20130101); G06F 15/02 (20130101),"July 26, 1979","January 5, 1982","4,309,761",#4309761,True
99,,"06/071,116",Siemens Aktiengesellschaft,6050619,H04Q 11/04 (20130101); H04Q 1/20 (20130101); H04Q 1/028 (20130101); H04Q 1/035 (20130101),"August 30, 1979","January 5, 1982","4,309,766",#4309766,True
100,,"06/068,334",Tokyo Shibaura Denki Kabushiki Kaisha,14432174,H03M 1/1071 (20130101); H03M 1/1205 (20130101),"August 21, 1979","January 5, 1982","4,309,767",#4309767,True
101,,"06/119,193","Teledyne Industries, Inc.",22383038,A47C 20/048 (20130101); A47C 31/008 (20130101); A47C 21/003 (20130101),"February 6, 1980","January 12, 1982","4,309,783",#4309783,True
102,,"06/124,344",,22414314,A22C 29/021 (20130101),"February 25, 1980","January 12, 1982","4,309,793",#4309793,True
103,,"06/053,760","John D. Hollingsworth On Wheels, Inc.",21986351,D01G 15/805 (20130101),"July 2, 1979","January 12, 1982","4,309,796",#4309796,True
104,,"06/191,579",Xerox Corporation,22706051,G03G 15/1685 (20130101),"September 29, 1980","January 12, 1982","4,309,803",#4309803,True
105,,"05/964,850",Raychem Limited,10444314,B23P 11/025 (20130101); F16L 13/004 (20130101); F16L 47/22 (20130101); Y10T 29/49945 (20150115); Y10T 29/49863 (20150115),"November 27, 1978","January 12, 1982","4,309,807",#4309807,True
106,,"06/153,334",General Motors Corporation,22546760,B29C 67/00 (20130101); H01M 2/0242 (20130101); Y10T 29/49108 (20150115); Y10T 225/371 (20150401),"May 27, 1980","January 12, 1982","4,309,818",#4309818,True
107,,"06/134,206",,22462240,B43L 13/208 (20130101),"March 26, 1980","January 12, 1982","4,309,825",#4309825,True
108,,"06/086,660",,6053307,B67B 3/2066 (20130101); B67B 3/16 (20130101),"October 22, 1979","January 12, 1982","4,309,859",#4309859,True
109,,"06/138,848","Soga Packaging Machinery Co., Ltd.",22483934,B65B 7/2892 (20130101),"April 10, 1980","January 12, 1982","4,309,860",#4309860,True
110,,"06/198,278",Belrecolt,9231258,A01D 84/02 (20130101),"October 17, 1980","January 12, 1982","4,309,863",#4309863,True
111,,"06/105,019",General Electric Company,22303621,F01D 25/08 (20130101); F01K 13/025 (20130101); F01K 7/22 (20130101),"December 19, 1979","January 12, 1982","4,309,873",#4309873,True
112,,"06/151,960",Arman S.p.A.,11307997,B60R 25/02121 (20130101); B60R 25/02128 (20130101); Y10T 70/5956 (20150401); Y10T 70/5664 (20150401),"May 21, 1980","January 12, 1982","4,309,882",#4309882,True
113,,"06/202,089",Aktieselskabet Nordiske Kabel- og Traadfabriker,8097916,B21K 1/46 (20130101); B21G 3/12 (20130101),"October 30, 1980","January 12, 1982","4,309,885",#4309885,True
114,,"06/166,729",Ford Motor Company,26674350,G01N 27/4078 (20130101),"July 7, 1980","January 12, 1982","4,309,897",#4309897,True
115,,"06/121,811","Productronix, Inc.",22398956,G01L 5/0076 (20130101),"February 14, 1980","January 12, 1982","4,309,907",#4309907,True
116,,"06/162,460",N-S-W Corporation,22585715,B25B 21/002 (20130101); B25B 23/0078 (20130101); B25B 21/005 (20130101),"June 23, 1980","January 12, 1982","4,309,923",#4309923,True
117,,"06/101,810",Measurex Corporation,22286534,F23N 3/00 (20130101); F23N 5/003 (20130101); F23N 2039/02 (20130101),"December 10, 1979","January 12, 1982","4,309,949",#4309949,True
118,,"06/136,888",J. M. Voith GmbH,6067347,B05C 11/041 (20130101),"April 3, 1980","January 12, 1982","4,309,960",#4309960,True
119,,"06/132,734","Tel-Thermco Engineering Co., Ltd.",12464764,C30B 25/08 (20130101); C23C 16/46 (20130101),"March 24, 1980","January 12, 1982","4,309,961",#4309961,True
120,,"06/130,843",General Motors Corporation,22446631,F01L 3/06 (20130101); Y02T 10/146 (20130101),"March 17, 1980","January 12, 1982","4,309,969",#4309969,True
121,,"06/137,415","Nissan Motor Company, Ltd.",12650230,F02P 3/0456 (20130101); F02P 5/1518 (20130101); Y02T 10/46 (20130101),"April 4, 1980","January 12, 1982","4,309,973",#4309973,True
122,,"06/121,418",H & H Tube & Mfg. Co.,22396600,F28F 9/026 (20130101); F24S 10/72 (20180501); F24S 80/30 (20180501); Y02E 10/44 (20130101); F24S 2010/71 (20180501); Y10S 126/906 (20130101),"February 14, 1980","January 12, 1982","4,309,987",#4309987,True
123,,"06/144,210",Alza Corporation,22507570,A61K 9/0004 (20130101); A61M 31/002 (20130101),"April 28, 1980","January 12, 1982","4,309,996",#4309996,True
124,,"06/150,216","Rion Co., Ltd.",13168323,A61B 5/0534 (20130101); G09B 19/04 (20130101); A61F 5/58 (20130101),"May 15, 1980","January 12, 1982","4,310,002",#4310002,True
125,,"06/116,875",Burron Medical Inc.,22369766,F16K 15/026 (20130101); Y10T 137/7871 (20150401); Y10T 137/7913 (20150401); Y10T 137/7909 (20150401),"January 30, 1980","January 12, 1982","4,310,017",#4310017,True
126,,"06/146,259",Outboard Marine Corporation,22516554,A01G 20/12 (20180201),"May 5, 1980","January 12, 1982","4,310,053",#4310053,True
127,,"06/107,594",Honda Giken Kogyo Kabushiki Kaisha,15778549,B62D 6/02 (20130101),"December 27, 1979","January 12, 1982","4,310,063",#4310063,True
128,,"06/122,343","SI Handling Systems, Inc.",22402158,F16D 57/00 (20130101); B61K 7/08 (20130101),"February 19, 1980","January 12, 1982","4,310,073",#4310073,True
129,,"06/007,791",Suddeutsche Kuhlerfabrik Julius Fr. Behr GmbH & Co. KG,6031042,F01P 7/042 (20130101); F16D 35/021 (20130101); F01P 2070/04 (20130101),"January 30, 1979","January 12, 1982","4,310,084",#4310084,True
