,Applicant Country,Applicant Number,Assignee Name,Family ID,Fields,File Date,Patent Date,Patent Number,Title (Patent Number),fetched
50,,"06/341,373",Krupp Kautex Machinenbau GmbH,6123153,B29C 48/30 (20190201); B29C 48/475 (20190201); B29C 48/34 (20190201); B29C 48/325 (20190201); B29C 48/92 (20190201); B29C 48/32 (20190201); B29C 2948/92076 (20190201); B29C 2948/92066 (20190201); B29C 2948/92142 (20190201); B29C 2948/92466 (20190201); B29C 2948/92961 (20190201); B29C 2948/92904 (20190201); B29C 2948/92628 (20190201); B29C 2948/92638 (20190201); B29C 2948/92647 (20190201); B29C 2948/92161 (20190201); B29C 48/09 (20190201),"January 21, 1982","January 3, 1984","4,424,178",#4424178,True
51,,"06/387,121",Shell Oil Company,10039449,A01N 55/04 (20130101); A01N 55/04 (20130101); A01N 37/10 (20130101); A01N 37/02 (20130101); A01N 55/04 (20130101); A01N 2300/00 (20130101),"June 10, 1982","January 3, 1984","4,424,233",#4424233,True
52,,"06/220,875",Lever Brothers Company,10498610,A61K 8/365 (20130101); A61Q 19/007 (20130101); Y10S 424/05 (20130101); Y10S 514/873 (20130101),"December 29, 1980","January 3, 1984","4,424,234",#4424234,True
53,,"06/366,412",Kureha Kagaku Kogyo Kabushiki Kaisha,26453709,B29C 61/0616 (20130101); B29C 48/21 (20190201); B32B 27/08 (20130101); B32B 27/322 (20130101); B32B 27/306 (20130101); B32B 1/08 (20130101); B29C 48/335 (20190201); B32B 27/304 (20130101); B32B 27/32 (20130101); B29C 48/30 (20190201); B29C 48/09 (20190201); B29C 61/08 (20130101); B29K 2023/00 (20130101); B29K 2023/083 (20130101); B29K 2027/00 (20130101); B29K 2995/0015 (20130101); B29K 2995/0041 (20130101); B29K 2995/0058 (20130101); B29K 2995/0065 (20130101); B29L 2023/001 (20130101); Y10S 428/913 (20130101); Y10S 428/91 (20130101); Y10T 428/31913 (20150401); B32B 2323/04 (20130101); B32B 2323/046 (20130101); B32B 2038/0028 (20130101); B32B 2307/72 (20130101); B32B 2307/518 (20130101); Y10T 428/3192 (20150401); Y10T 428/24975 (20150115); Y10T 428/1328 (20150115); B32B 2307/306 (20130101); B32B 2307/736 (20130101); B29C 48/10 (20190201); B29C 48/0018 (20190201); B29C 48/0019 (20190201),"April 7, 1982","January 3, 1984","4,424,243",#4424243,True
54,,"06/400,065","Mitsui Petrochemical Industries, Ltd.",14807264,D06N 7/006 (20130101); Y10T 428/25 (20150115); Y10T 428/252 (20150115); Y10T 442/699 (20150401),"July 20, 1982","January 3, 1984","4,424,255",#4424255,True
55,,"06/418,352",Magnetic Peripherals Inc.,23657764,G03F 7/0035 (20130101); H05K 3/048 (20130101); H01F 41/34 (20130101); G11B 5/3163 (20130101),"September 15, 1982","January 3, 1984","4,424,271",#4424271,True
56,,"06/291,193",National Starch and Chemical Corporation,26909896,C09J 103/02 (20130101); C08L 3/02 (20130101); C08L 3/02 (20130101); C08L 33/02 (20130101); C09J 103/02 (20130101); C08L 2666/02 (20130101); C08L 2666/02 (20130101),"August 10, 1981","January 3, 1984","4,424,291",#4424291,True
57,,"06/480,937","Standard Oil Company,",26962043,C08K 5/0091 (20130101); C08K 5/00 (20130101); C08K 5/00 (20130101); C08L 79/08 (20130101); C08K 5/0091 (20130101); C08L 79/08 (20130101),"March 31, 1983","January 3, 1984","4,424,294",#4424294,True
58,,"06/448,120",The Goodyear Tire & Rubber Company,23779081,C08F 36/06 (20130101); C08F 36/06 (20130101); C08F 2/20 (20130101),"December 9, 1982","January 3, 1984","4,424,324",#4424324,True
59,,"06/267,592",Societe Chimique des Charbonnages,9242391,C08F 210/16 (20130101); C08F 210/16 (20130101); C08F 4/626 (20130101); C08F 210/16 (20130101); C08F 4/6226 (20130101); Y10S 526/916 (20130101); C08F 210/16 (20130101); C08F 210/06 (20130101); C08F 2500/09 (20130101); C08F 2500/12 (20130101); C08F 210/16 (20130101); C08F 210/06 (20130101); C08F 210/08 (20130101); C08F 2500/09 (20130101); C08F 2500/12 (20130101),"May 27, 1981","January 3, 1984","4,424,330",#4424330,True
60,,"06/203,098",Bristol Myers Company,26898311,C07H 15/234 (20130101),"November 3, 1980","*     January 3, 1984","4,424,343",#4424343,True
61,,"06/320,129",Degussa Aktiengesellschaft,6116946,C07D 209/20 (20130101); C07D 319/06 (20130101); C07D 317/30 (20130101),"November 10, 1981","January 3, 1984","4,424,370",#4424370,True
62,,"06/372,062","Koppers Company, Inc.",23466553,C07C 37/86 (20130101); C07C 37/685 (20130101); C07C 37/84 (20130101); C07C 37/84 (20130101); C07C 39/235 (20130101); C07C 37/685 (20130101); C07C 39/08 (20130101); C07C 37/86 (20130101); C07C 39/08 (20130101),"April 26, 1982","January 3, 1984","4,424,381",#4424381,True
63,,"06/300,715",The Dow Chemical Company,23160281,C07C 17/42 (20130101); C07C 17/42 (20130101); C07C 19/05 (20130101),"September 10, 1981","January 3, 1984","4,424,386",#4424386,True
64,,"06/420,320",Solvay & Cie,9225409,C07D 301/14 (20130101); C07D 303/08 (20130101),"September 20, 1982","January 3, 1984","4,424,391",#4424391,True
65,,"06/334,423",Preformed Line Products Company,23307153,H02G 15/013 (20130101); G02B 6/4447 (20130101),"December 24, 1981","January 3, 1984","4,424,412",#4424412,True
66,,"06/337,877",General Electric Company,23322400,H05B 3/76 (20130101); H02H 11/005 (20130101),"January 7, 1982","January 3, 1984","4,424,439",#4424439,True
67,,"06/311,845",The Babcock & Wilcox Company,23208765,H03G 3/3084 (20130101); G01J 1/44 (20130101),"October 16, 1981","January 3, 1984","4,424,440",#4424440,True
68,,"06/390,888",Tokyo Shibaura Denki Kabushiki Kaisha,14194716,H02M 3/3372 (20130101); H02M 3/33538 (20130101),"June 22, 1982","January 3, 1984","4,424,459",#4424459,True
69,,"06/245,694",American Hoechst Corporation,26718904,B23K 26/08 (20130101); H05K 3/0002 (20130101); B23K 26/082 (20151001); G06K 15/1204 (20130101); H04N 2201/04798 (20130101); H04N 1/1135 (20130101); H04N 2201/04729 (20130101); H04N 2201/04731 (20130101); H04N 2201/04789 (20130101); H04N 2201/04791 (20130101); H05K 2203/056 (20130101); H05K 2203/107 (20130101); H05K 2203/108 (20130101); H04N 2201/02416 (20130101); H04N 2201/02439 (20130101); H04N 2201/02443 (20130101); H04N 2201/03108 (20130101); H04N 2201/0471 (20130101); H04N 2201/04724 (20130101); H04N 2201/04725 (20130101); H04N 2201/04734 (20130101); H04N 2201/04736 (20130101); H04N 2201/04746 (20130101); H04N 2201/04755 (20130101); H04N 2201/04756 (20130101); H04N 2201/04772 (20130101); H04N 2201/04794 (20130101),"March 19, 1981","January 3, 1984","4,424,519",#4424519,True
70,,"06/283,349",Fujitsu Fanuc Ltd.,14302801,G05B 19/4166 (20130101); G05B 2219/50008 (20130101),"July 14, 1981","January 3, 1984","4,424,569",#4424569,True
71,,"06/272,200",Fujitsu Fanuc Limited,13778060,B23Q 35/123 (20130101),"June 10, 1981","January 3, 1984","4,424,570",#4424570,True
72,,"06/238,331",Pitney Bowes Inc.,22897436,G06Q 20/40 (20130101); G07B 17/0008 (20130101); G07B 2017/00935 (20130101); G07B 2017/00403 (20130101); G07B 2017/00161 (20130101),"February 26, 1981","January 3, 1984","4,424,573",#4424573,True
73,,"06/309,219",Elkem a/s,23197230,H05B 7/107 (20130101),"October 7, 1981","January 3, 1984","4,424,584",#4424584,True
74,,"06/296,310",Fujitsu Limited,14752427,G01B 11/022 (20130101); G01B 11/002 (20130101),"August 26, 1981","January 3, 1984","4,424,588",#4424588,True
75,,"06/324,746",Magnavox Consumer Electronics Company,23264923,H04N 5/775 (20130101); H04B 1/18 (20130101),"November 25, 1981","January 3, 1984","4,424,591",#4424591,True
76,,"06/364,604","Victor F. Weaver, Inc.",23435265,A22C 21/0023 (20130101),"April 1, 1982","January 10, 1984","4,424,608",#4424608,True
77,,"06/275,311",,23051750,F26B 17/122 (20130101); A23B 9/08 (20130101),"June 19, 1981","January 10, 1984","4,424,634",#4424634,True
78,,"06/291,231",,23119452,E04D 5/14 (20130101); E04D 13/1606 (20130101); E04D 13/155 (20130101),"August 10, 1981","January 10, 1984","4,424,650",#4424650,True
79,,"06/368,586",,19221444,E04H 6/10 (20130101),"April 15, 1982","January 10, 1984","4,424,651",#4424651,True
80,,"06/269,656","Musashi Co., Ltd.",13744467,G07D 11/50 (20190101); B65B 27/08 (20130101),"June 2, 1981","January 10, 1984","4,424,660",#4424660,True
81,,"06/124,349",,9222493,F42B 10/663 (20130101); F02K 9/82 (20130101),"February 25, 1980","January 10, 1984","4,424,670",#4424670,True
82,,"06/256,996",Tyler Refrigeration Corporation,22974462,A47F 3/0469 (20130101),"April 24, 1981","January 10, 1984","4,424,685",#4424685,True
83,,"06/267,387",Kabushiki Kaisha Kobe Seiko Sho,26411600,B21C 23/211 (20130101); B21C 35/04 (20130101); B21C 23/218 (20130101),"May 26, 1981","January 10, 1984","4,424,696",#4424696,True
84,,"06/360,433",Siemens Aktiengesellschaft,6128375,G03G 15/2096 (20130101); G01N 29/024 (20130101),"March 22, 1982","January 10, 1984","4,424,702",#4424702,True
85,,"06/339,748",Northrop Corporation,23330413,G01M 3/04 (20130101),"January 15, 1982","January 10, 1984","4,424,708",#4424708,True
86,,"06/225,141",Perard Engineering Ltd.,10510731,E21C 29/02 (20130101); F16H 19/04 (20130101); F16H 55/26 (20130101); Y10T 74/19893 (20150115); Y10T 74/1967 (20150115); Y10T 74/19656 (20150115),"January 14, 1981","January 10, 1984","4,424,722",#4424722,True
87,,"06/253,066",,26803698,B25B 13/481 (20130101); B25G 3/02 (20130101); B25G 1/005 (20130101); B25B 23/16 (20130101),"April 10, 1981","*     January 10, 1984","4,424,728",#4424728,True
88,,"06/220,825",Schweizerische Eidgenossenschaft Vertreten Durch Die Gruppe Fur,4322417,B64D 1/04 (20130101); B64D 1/06 (20130101),"December 29, 1980","January 10, 1984","4,424,733",#4424733,True
89,,"06/223,945",Heinmetall GmbH,6094364,F41A 21/44 (20130101),"January 12, 1981","January 10, 1984","4,424,734",#4424734,True
90,,"06/263,488",Canon Kabushiki Kaisha,27565652,B41J 7/48 (20130101); B41J 1/48 (20130101),"May 14, 1981","January 10, 1984","4,424,743",#4424743,True
91,,"06/410,781",Conoco Inc.,23626187,F02B 1/02 (20130101); F02M 27/02 (20130101); Y10S 123/12 (20130101); Y02T 10/16 (20130101),"August 23, 1982","January 10, 1984","4,424,771",#4424771,True
92,,"06/346,566",General Motors Corporation,23360015,F01L 3/06 (20130101); Y02T 10/146 (20130101),"February 8, 1982","January 10, 1984","4,424,777",#4424777,True
93,,"06/300,637",Klockner-Humboldt-Deutz Aktiengesellschaft,6111530,F02M 63/022 (20130101); F02M 59/447 (20130101),"September 9, 1981","January 10, 1984","4,424,782",#4424782,True
94,,"06/267,336",,23018371,F02M 31/16 (20130101); Y02T 10/126 (20130101),"May 26, 1981","January 10, 1984","4,424,789",#4424789,True
95,,"06/383,122",,23511815,A47J 36/30 (20130101),"May 28, 1982","January 10, 1984","4,424,798",#4424798,True
96,,"06/349,726","Medtronic, Inc.",23373691,A61N 1/0587 (20130101),"February 18, 1982","January 10, 1984","4,424,818",#4424818,True
97,,"06/267,278",,13799702,F16K 7/06 (20130101); Y10T 137/788 (20150401),"May 26, 1981","January 10, 1984","4,424,832",#4424832,True
98,,"06/236,497",,6095441,B62D 25/161 (20130101); B62D 25/2072 (20130101); B05B 13/0627 (20130101); F16L 58/00 (20130101); Y10T 428/13 (20150115),"March 12, 1982","January 10, 1984","4,424,838",#4424838,True
99,,"06/299,767",Sperry Corporation,23156215,E21B 33/1208 (20130101); F16J 15/164 (20130101); E21B 33/126 (20130101); Y10S 277/931 (20130101),"September 8, 1981","January 10, 1984","4,424,865",#4424865,True
100,,"06/328,030",,23279201,A01B 1/06 (20130101),"December 7, 1981","January 10, 1984","4,424,869",#4424869,True
101,,"06/186,588",Xenell Corporation,22685530,B65G 47/681 (20130101); B65G 47/8823 (20130101); B65G 2205/02 (20130101),"September 12, 1980","January 10, 1984","4,424,894",#4424894,True
102,,"06/356,897",USM Corporation,10520310,A43D 71/00 (20130101); A43D 69/02 (20130101),"March 10, 1982","January 10, 1984","4,424,928",#4424928,True
103,,"06/278,408","Cooper Industries, Inc.",23064863,B23K 3/025 (20130101); B23K 3/026 (20130101); Y10T 29/49986 (20150115),"June 29, 1981","January 10, 1984","4,424,930",#4424930,True
104,,"06/342,517","Standard Steel Sponge, Inc.",23342175,B22D 41/12 (20130101); C21C 1/06 (20130101); F27D 3/123 (20130101); F27D 1/1808 (20130101); Y10S 428/92 (20130101),"January 25, 1982","January 10, 1984","4,424,957",#4424957,True
105,,"06/318,487","Indian Industries, Inc.",23238383,A63B 63/083 (20130101); Y10T 403/75 (20150115); Y10T 428/31692 (20150401); A63B 2071/0063 (20130101),"November 5, 1981","January 10, 1984","4,424,968",#4424968,True
106,,"06/372,589",Kawasaki Jukogyo Kabushiki Kaisha,26844402,B62B 17/04 (20130101); B62B 13/08 (20130101),"April 28, 1982","January 10, 1984","4,424,979",#4424979,True
107,,"06/299,131","Nissan Motor Co., Ltd.",15087826,B62D 21/152 (20130101); B62D 25/082 (20130101); B62D 21/155 (20130101),"September 3, 1981","January 10, 1984","4,424,986",#4424986,True
108,,"06/209,103",,4229123,B65B 13/26 (20130101),"November 2, 1979","January 10, 1984","4,424,992",#4424992,True
109,,"06/285,871",American Casting and Manufacturing Corporation,10515000,G09F 3/0352 (20130101); B65D 63/1072 (20130101); G09F 3/037 (20130101); B65D 2563/105 (20130101); Y10T 292/496 (20150401),"July 22, 1981","January 10, 1984","4,424,994",#4424994,True
110,,"06/362,243",General Motors Corporation,23425297,B60T 13/74 (20130101); B60T 13/586 (20130101),"March 26, 1982","January 10, 1984","4,425,005",#4425005,True
111,,"06/271,431",The Siemon Company,23035531,H01R 4/2416 (20130101); H01R 4/242 (20130101); H01R 4/02 (20130101); H01R 13/33 (20130101); H01R 13/506 (20130101); H01R 9/15 (20130101),"June 8, 1981","January 10, 1984","4,425,019",#4425019,True
112,,"06/217,556","Fuji Photo Optical Co., Ltd.",15889240,G02B 23/2438 (20130101); A61B 1/04 (20130101),"December 17, 1980","January 10, 1984","4,425,025",#4425025,True
113,,"06/248,058","Travis Handling Systems, Inc.",22937496,A47B 57/50 (20130101); Y10T 292/432 (20150401); Y10T 403/4621 (20150115); Y10T 403/581 (20150115); Y10T 403/4611 (20150115); F16B 2200/205 (20180801),"March 27, 1981","January 10, 1984","4,425,049",#4425049,True
114,,"06/234,777",Theodore Sweeney & Company,26928273,F16B 13/143 (20130101); F16B 5/00 (20130101); F16B 11/006 (20130101); F16B 5/0642 (20130101),"February 11, 1981","January 10, 1984","4,425,065",#4425065,True
115,,"06/407,941",,6730544,G09B 5/062 (20130101); G11B 33/06 (20130101); G11B 17/025 (20130101),"August 13, 1982","January 10, 1984","4,425,098",#4425098,True
116,,"06/331,793",Uni-Cardan Aktiengesellschaft,6119857,F16D 3/221 (20130101),"December 17, 1981","January 10, 1984","4,425,101",#4425101,True
117,,"05/898,569",,25409647,A61B 17/22004 (20130101); A61B 17/22012 (20130101); B06B 3/02 (20130101); A61F 9/00745 (20130101); A61B 2017/320084 (20130101); A61B 2217/005 (20130101); A61B 2217/007 (20130101); A61B 2017/320088 (20130101),"April 21, 1978","January 10, 1984","4,425,115",#4425115,True
118,,"06/412,704",,23634105,A61M 25/0693 (20130101); A61M 2005/3206 (20130101); A61M 2005/1581 (20130101),"August 30, 1982","January 10, 1984","4,425,118",#4425118,True
119,,"06/295,387",Shin Tohoku Chemical Industries Inc.,27453534,B01D 53/04 (20130101); B01D 53/0423 (20130101); B01J 20/18 (20130101); B01D 2253/108 (20130101); B01D 2257/108 (20130101); B01D 2257/11 (20130101); B01D 2257/102 (20130101),"August 24, 1981","January 10, 1984","4,425,143",#4425143,True
120,,"06/492,311",Owens-Corning Fiberglas Corporation,26877316,C03B 1/00 (20130101); C03B 1/02 (20130101); F27D 13/00 (20130101); C03B 3/023 (20130101); Y02P 40/56 (20151101),"May 6, 1983","*     January 10, 1984","4,425,147",#4425147,True
121,,"06/340,301",E. I. Du Pont de Nemours & Co.,26864038,C07D 521/00 (20130101),"January 18, 1982","January 10, 1984","4,425,153",#4425153,True
122,,"06/387,298",Westinghouse Electric Corp.,22702377,C23C 22/74 (20130101); H01F 1/18 (20130101); Y10T 428/265 (20150115),"June 10, 1982","January 10, 1984","4,425,166",#4425166,True
123,,"06/360,676",Asahi Kasei Kogyo Kabushiki Kaisha,12801782,C25B 3/08 (20130101),"March 22, 1982","January 10, 1984","4,425,199",#4425199,True
124,,"06/290,689",The Upjohn Company,23117135,G03F 7/031 (20130101); C08F 2/50 (20130101),"August 6, 1981","January 10, 1984","4,425,208",#4425208,True
125,,"06/420,862","Matsushita Electric Industrial Co., Ltd.",15513723,B23K 35/224 (20130101); H05K 3/287 (20130101); C08F 22/105 (20130101); H05K 1/0393 (20130101),"September 21, 1982","January 10, 1984","4,425,209",#4425209,True
