,Assignee Location,Assignee Name,Fields,Patent Number,Title (Patent Number),fetched,Year,CPC Category
21,DE,BAYER AKTIENGESELLSCHAFT,C,"4,181,782",#4181782,True,1980,"Chemistry, Metallurgy"
22,"Glenview, IL",ZENITH RADIO CORPORATION,H,"4,181,870",#4181870,True,1980,Electricity
23,"Youngstown, OH",THE ECONOMY ENGINE COMPANY,G,"4,181,883",#4181883,True,1980,Physics
24,"Pittsburgh, PA",WESTINGHOUSE ELECTRIC CORP.,G,"4,181,969",#4181969,True,1980,Physics
25,JP,NIPPON GAKKI SEIZO KABUSHIKI KAISHA,G,"4,182,210",#4182210,True,1980,Physics
26,"Clearwater, FL",POPULATION RESEARCH INCORPORATED,A,"4,182,328",#4182328,True,1980,Human Necessities
27,"Belle Chasse, LA","BAKER CAC, INC.",F,"4,182,369",#4182369,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
28,"Oak Brook, IL",BUNKER RAMO CORPORATION,F,"4,182,435",#4182435,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
30,"Somerville, NJ",EGAN MACHINERY COMPANY,B,"4,182,603",#4182603,True,1980,"Performing Operations, Transporting"
31,"Minneapolis, MN",CONTROL DATA CORPORATION,G,"4,182,643",#4182643,True,1980,Physics
32,"Cockeysville, MD","JOHNSTON LABORATORIES, INC.",C,"4,182,656",#4182656,True,1980,"Chemistry, Metallurgy"
33,GB2,BEECHAM GROUP LIMITED,C,"4,182,710",#4182710,True,1980,"Chemistry, Metallurgy"
34,"Leverkusen, DE",BAYER AKTIENGESELLSCHAFT,C,"4,182,826",#4182826,True,1980,"Chemistry, Metallurgy"
35,"Nutley, NJ",HOFFMANN-LA ROCHE INC.,C,"4,182,867",#4182867,True,1980,"Chemistry, Metallurgy"
36,"Tokyo, JP","THE LION FAT AND OIL CO., LTD.",C,"4,182,894",#4182894,True,1980,"Chemistry, Metallurgy"
37,"Wallingford, CT","EYELET SPECIALTY CO., INC.",A,"4,182,945",#4182945,True,1980,Human Necessities
38,"St. Louis, MO",EMERSON ELECTRIC CO.,H,"4,182,948",#4182948,True,1980,Electricity
40,"New York, NY",RCA CORPORATION,H,"4,182,968",#4182968,True,1980,Electricity
41,"New York, NY",U.S. PHILIPS CORPORATION,H,"4,182,973",#4182973,True,1980,Electricity
42,JP,"HITACHI, LTD.",G,"4,183,090",#4183090,True,1980,Physics
43,"Villingen, DE",KIENZLE APPARATE GMBH,G,"4,183,205",#4183205,True,1980,Physics
44,"Spartanburg, SC",KUSTERS CORPORATION,D,"4,183,234",#4183234,True,1980,"Textiles, Paper"
45,"Houston, TX",SHELL OIL COMPANY,G,"4,183,243",#4183243,True,1980,Physics
46,"Irvine, CA","BENTLEY LABORATORIES, INC.",A,"4,183,357",#4183357,True,1980,Human Necessities
47,"Detroit, MI",GENERAL MOTORS CORPORATION,B,"4,183,388",#4183388,True,1980,"Performing Operations, Transporting"
49,"Dayton, OH","MONARCH MARKING SYSTEMS, INC.",G,"4,183,465",#4183465,True,1980,Physics
50,CH,FRITZ GEGAUF AKTIENGESELLSCHAFT,D,"4,183,473",#4183473,True,1980,"Textiles, Paper"
51,"Pittsburgh, PA",LAVA CRUCIBLE REFRACTORIES CO.,C,"4,183,507",#4183507,True,1980,"Chemistry, Metallurgy"
52,"Edmonton, CA",THE RESEARCH COUNCIL OF ALBERTA,B,"4,183,586",#4183586,True,1980,"Performing Operations, Transporting"
53,"Eskilstuna, SE",FORENADE FABRIKSVERKEN,F,"4,183,688",#4183688,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
54,"Indianapolis, IN",P. R. MALLORY & CO. INC.,H,"4,184,010",#4184010,True,1980,Electricity
55,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE ARMY,H,"4,184,069",#4184069,True,1980,Electricity
57,"New York, NY",SUN CHEMICAL CORPORATION,B,"4,184,350",#4184350,True,1980,"Performing Operations, Transporting"
58,"Besigheim, DE",KOMET STAHLHALTER- UND WERKZEUGFABRIK ROBERT BREUNING GMBH,B,"4,184,391",#4184391,True,1980,"Performing Operations, Transporting"
59,"Kariya, JP",AISIN SEIKI KABUSHIKI KAISHA,B,"4,184,716",#4184716,True,1980,"Performing Operations, Transporting"
60,"Bryan, OH",THE ARO CORPORATION,F,"4,184,819",#4184819,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
61,"Columbus, OH","ADVANCED DRAINAGE SYSTEMS, INC.",B,"4,184,828",#4184828,True,1980,"Performing Operations, Transporting"
62,"Carbondale, PA",HENDRICK MANUFACTURING COMPANY,B,"4,184,950",#4184950,True,1980,"Performing Operations, Transporting"
63,"Louisville, KY","AMERICAN AIR FILTER COMPANY, INC.",B,"4,185,157",#4185157,True,1980,"Performing Operations, Transporting"
64,"Roanoke, VA",VIRGINIA PLASTICS COMPANY,H,"4,185,162",#4185162,True,1980,Electricity
65,"Utrecht, NL",STICHTING VOOR FUNDAMENTEEL ONDERZOEK DER MATERIE,H,"4,185,255",#4185255,True,1980,Electricity
66,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE NAVY,G,"4,185,274",#4185274,True,1980,Physics
67,"Paris, FR",THOMSON-CSF,H,"4,185,286",#4185286,True,1980,Electricity
68,"Stuttgart, DE",ROBERT BOSCH GMBH,H,"4,185,295",#4185295,True,1980,Electricity
69,"Detroit, MI",BURROUGHS CORPORATION,G,"4,185,311",#4185311,True,1980,Physics
70,"Newton Centre, MA",LUSTIG; LEOPOLD P.,A,"4,185,384",#4185384,True,1980,Human Necessities
71,"North Hollywood, CA","SEMCO INSTRUMENTS, INC.",F,"4,185,460",#4185460,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
73,"Irvine, CA","DEEP OIL TECHNOLOGY, INC.",E,"4,185,694",#4185694,True,1980,Fixed Construction
74,"Richmond, VA",ROBERTSHAW CONTROLS COMPANY,G,"4,185,772",#4185772,True,1980,Physics
75,"Wheaton, IL",SPRAYING SYSTEMS CO.,B,"4,185,781",#4185781,True,1980,"Performing Operations, Transporting"
77,"Boulogne-Billancourt, FR",REGIE NATIONALE DES USINES RENAULT,F,"4,185,878",#4185878,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
78,"London, GBImperial Chemical Industries Limited",THORN ELECTRICAL INDUSTRIES LIMITED,H,"4,185,922",#4185922,True,1980,Electricity
79,"Southbridge, MA",AMERICAN OPTICAL CORPORATION,C,"4,186,026",#4186026,True,1980,"Chemistry, Metallurgy"
80,"Houston, TX",SHELL OIL COMPANY,C,"4,186,079",#4186079,True,1980,"Chemistry, Metallurgy"
81,"Los Angeles, CA",UNION OIL COMPANY OF CALIFORNIA,B,"4,186,081",#4186081,True,1980,"Performing Operations, Transporting"
82,JP,"HITACHI CHEMICAL COMPANY, LTD.",C,"4,186,122",#4186122,True,1980,"Chemistry, Metallurgy"
83,"New Brunswick, NJ",JOHNSON & JOHNSON,A,"4,186,165",#4186165,True,1980,Human Necessities
84,1971 Limited,ROLLS-ROYCE,B,"4,186,222",#4186222,True,1980,"Performing Operations, Transporting"
85,"Tulsa, OK","LOWRANCE ELECTRONICS, INC.",G,"4,186,372",#4186372,True,1980,Physics
87,"Pittsburgh, PA",WESTINGHOUSE ELECTRIC CORP.,G,"4,186,431",#4186431,True,1980,Physics
88,"Columbia, SC",SHAKESPEARE COMPANY,A,"4,186,508",#4186508,True,1980,Human Necessities
89,"Hollis, NY",IDEAL TOY CORPORATION,A,"4,186,516",#4186516,True,1980,Human Necessities
90,"Addison, IL",HAUSERMANN ABRADING PROCESS COMPANY,B,"4,186,527",#4186527,True,1980,"Performing Operations, Transporting"
94,"Yokohama, JP",NISSAN MOTOR COMPANY LIMITED,F,"4,186,701",#4186701,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
95,"Wolfsburg, DE",VOLKSWAGENWERK AKTIENGESELLSCHAFT,F,"4,186,714",#4186714,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
96,"Tokyo, JP","TOZEN SANGYO CO., LTD.",F,"4,186,775",#4186775,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
98,"Glens Falls, NY","KAMYR, INC.",B,"4,187,043",#4187043,True,1980,"Performing Operations, Transporting"
99,"Schenectady, NY",GENERAL ELECTRIC COMPANY,B,"4,187,086",#4187086,True,1980,"Performing Operations, Transporting"
100,"Milwaukee, WI","AQUA-CHEM, INC.",A,"4,187,183",#4187183,True,1980,Human Necessities
101,"San Francisco, CA",CHEVRON RESEARCH COMPANY,B,"4,187,199",#4187199,True,1980,"Performing Operations, Transporting"
102,"Barry, GB7",DOW CORNING LIMITED,C,"4,187,208",#4187208,True,1980,"Chemistry, Metallurgy"
103,"Bully-les-Mines, FR",SOCIETE CHIMIQUE DES CHARBONNAGES - CDF CHIMIE,C,"4,187,254",#4187254,True,1980,"Chemistry, Metallurgy"
104,"Ponca City, OK","CONOCO, INC.",C,"4,187,255",#4187255,True,1980,"Chemistry, Metallurgy"
105,"Akron, OH",THE GENERAL TIRE & RUBBER COMPANY,B,"4,187,274",#4187274,True,1980,"Performing Operations, Transporting"
106,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE NAVY,A,"4,187,290",#4187290,True,1980,Human Necessities
108,"Rochester, NY",SYBRON CORPORATION,A,"4,187,559",#4187559,True,1980,Human Necessities
113,"New York, NY","WESTERN ELECTRIC COMPANY, INC.",B,"4,187,867",#4187867,True,1980,"Performing Operations, Transporting"
116,"Holland City, MI",W. J. BRADFORD PAPER COMPANY,B,"4,187,975",#4187975,True,1980,"Performing Operations, Transporting"
117,"Santa Monica, CA",PHOTOMATRIX CORPORATION,G,"4,188,114",#4188114,True,1980,Physics
118,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"4,188,124",#4188124,True,1980,Physics
119,"Osaka, JP",ASAHI KASEI KOGYO KABUSHIKI KAISHA,G,"4,188,226",#4188226,True,1980,Physics
120,"New York, NY",MOBIL OIL CORPORATION,C,"4,188,235",#4188235,True,1980,"Chemistry, Metallurgy"
121,"Troisdorf, DE",DYNAMIT NOBEL AKTIENGESELLSCHAFT,C,"4,188,263",#4188263,True,1980,"Chemistry, Metallurgy"
122,"Midland, MI",THE DOW CHEMICAL COMPANY,C,"4,188,346",#4188346,True,1980,"Chemistry, Metallurgy"
123,"Basel, CH",SANDOZ LTD.,A,"4,188,393",#4188393,True,1980,Human Necessities
124,"Regensdorf, CH",GRETAG AKTIENGESELLSCHAFT,H,"4,188,506",#4188506,True,1980,Electricity
125,"Pittsburgh, PA",WESTINGHOUSE ELECTRIC CORP.,H,"4,188,573",#4188573,True,1980,Electricity
126,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE AIR,H,"4,188,591",#4188591,True,1980,Electricity
127,"Armonk, NY",IBM CORPORATION,G,"4,188,649",#4188649,True,1980,Physics
128,"Tokyo, JP","OILES INDUSTRY CO., LTD.",B,"4,188,681",#4188681,True,1980,"Performing Operations, Transporting"
131,"Pittsburgh, PA","KOPPERS COMPANY, INC.",B,"4,188,861",#4188861,True,1980,"Performing Operations, Transporting"
132,"Evanston, IL",AMERICAN HOSPITAL SUPPLY CORPORATION,A,"4,188,942",#4188942,True,1980,Human Necessities
134,"Essen, DE",FRIED. KRUPP GESELLSCHAFT MIT BESCHRANKTER HAFTUNG,B,"4,189,106",#4189106,True,1980,"Performing Operations, Transporting"
135,"Blissfield, MI",SAXMAYER CORPORATION,B,"4,189,134",#4189134,True,1980,"Performing Operations, Transporting"
136,"Tokyo, JP",CANON KABUSHIKI KAISHA,G,"4,189,232",#4189232,True,1980,Physics
137,"Zedelgem, BE",NAAMLOZE VENNOOTSCHAP A. CLAEYS-FLANDRIA,F,"4,189,295",#4189295,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
138,"White Plains, NY",TEXACO DEVELOPMENT CORPORATION,C,"4,189,307",#4189307,True,1980,"Chemistry, Metallurgy"
139,"St. Louis, MO",SHERWOOD MEDICAL INDUSTRIES INC.,G,"4,189,382",#4189382,True,1980,Physics
140,"Osaka, JP","TAKEDA CHEMICAL INDUSTRIES, LTD.",C,"4,189,485",#4189485,True,1980,"Chemistry, Metallurgy"
141,"St. Louis, MO",MONSANTO COMPANY,C,"4,189,610",#4189610,True,1980,"Chemistry, Metallurgy"
143,"Stamford, CT",XEROX CORPORATION,G,"4,189,643",#4189643,True,1980,Physics
144,"Lexington, MA",RAYTHEON COMPANY,H,"4,189,683",#4189683,True,1980,Electricity
145,"Tokyo, JP",SONY CORPORATION,H,"4,189,751",#4189751,True,1980,Electricity
146,"Armonk, NY",INTERNATIONAL BUSINESS MACHINES CORPORATION,G,"4,189,770",#4189770,True,1980,Physics
148,"Chattanooga, TN","DANEK INDUSTRIES, INC.",E,"4,189,854",#4189854,True,1980,Fixed Construction
149,"Milwaukee, WI",ALLIS-CHALMERS CORPORATION,F,"4,189,952",#4189952,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
150,"Jasper, IN","KIMBALL INTERNATIONAL, INC.",G,"4,189,973",#4189973,True,1980,Physics
151,"Freiburg, DE",GIF GESELLSCHAFT FUR INGENIEURPROJEKTE FREIBURG MBH,F,"4,189,990",#4189990,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
152,"Ipswich, GB2",DELTA MATERIALS RESEARCH LIMITED,G,"4,190,131",#4190131,True,1980,Physics
155,"Tokyo, JP",ASAHI KOGAKU KOGYO KABUSHIKI KAISHA,G,"4,190,323",#4190323,True,1980,Physics
156,"Neuilly-sur-Seine, FR",SAINT-GOBAIN INDUSTRIES,B,"4,190,452",#4190452,True,1980,"Performing Operations, Transporting"
157,"St. Louis, MO",MONSANTO COMPANY,C,"4,190,700",#4190700,True,1980,"Chemistry, Metallurgy"
158,"Yokohama, JP","VICTOR COMPANY OF JAPAN, LTD.",G,"4,190,869",#4190869,True,1980,Physics
160,"Hudson, MA","HUDSON LOCK, INC.",E,"4,191,037",#4191037,True,1980,Fixed Construction
161,"Aurora, OH",SAMUEL MOORE AND COMPANY,F,"4,191,064",#4191064,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
162,"Kariya, JP",AISIN SEIKI KABUSHIKI KAISHA,F,"4,191,142",#4191142,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
164,"Bartlesville, OK",PHILLIPS PETROLEUM COMPANY,C,"4,191,657",#4191657,True,1980,"Chemistry, Metallurgy"
165,"Ponca City, OK","CONOCO, INC.",C,"4,191,737",#4191737,True,1980,"Chemistry, Metallurgy"
166,"Tokyo, JP","MITSUI SUGAR CO., LTD.",C,"4,191,810",#4191810,True,1980,"Chemistry, Metallurgy"
167,"Tokyo, JP",SONY CORPORATION,H,"4,191,863",#4191863,True,1980,Electricity
168,"Lynchburg, VA",GENERAL ELECTRIC COMPANY,G,"4,191,925",#4191925,True,1980,Physics
169,"Telford, PA","N.A.D., INC.",A,"4,191,952",#4191952,True,1980,Human Necessities
171,"El Paso, TX","BALES-MCCOIN RESEARCH, INC.",F,"4,192,201",#4192201,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
172,"Chicago, IL",AMSTED INDUSTRIES INCORPORATED,B,"4,192,240",#4192240,True,1980,"Performing Operations, Transporting"
173,"Stuttgart, DE",ROBERT BOSCH GMBH,F,"4,192,279",#4192279,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
178,"Stuttgart, DE",ROBERT BOSCH GMBH,B,"4,192,390",#4192390,True,1980,"Performing Operations, Transporting"
182,"Cincinnati, OH",WEIL; BURT,A,"4,192,541",#4192541,True,1980,Human Necessities
183,"Beckley, WV","COALTEX, INC.",E,"4,192,550",#4192550,True,1980,Fixed Construction
184,"Pittsburgh, PA",WESTINGHOUSE ELECTRIC CORP.,F,"4,192,558",#4192558,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
185,"Los Angeles, CA",ATLANTIC RICHFIELD COMPANY,C,"4,192,652",#4192652,True,1980,"Chemistry, Metallurgy"
186,"Cleveland, OH",EATON CORPORATION,B,"4,192,702",#4192702,True,1980,"Performing Operations, Transporting"
187,"Tokyo, JP","TOKYO SHIBAURA ELECTRIC CO., LTD.",H,"4,192,706",#4192706,True,1980,Electricity
188,"White Plains, NY",TEXACO INC.,B,"4,192,755",#4192755,True,1980,"Performing Operations, Transporting"
189,"Farmingdale, NY","BIORESEARCH, INC.",B,"4,192,798",#4192798,True,1980,"Performing Operations, Transporting"
192,"Hartford, CT",UNITED TECHNOLOGIES CORPORATION,B,"4,192,907",#4192907,True,1980,"Performing Operations, Transporting"
193,"Tokyo, JP","RICOH COMPANY, LTD.",G,"4,193,071",#4193071,True,1980,Physics
194,"Pasadena, CA",CALIFORNIA INSTITUTE OF TECHNOLOGY,H,"4,193,111",#4193111,True,1980,Electricity
197,"Addison, IL",AMERICAN CLEANING EQUIPMENT CORPORATION OF ILLINOIS,A,"4,193,161",#4193161,True,1980,Human Necessities
198,"Helldal, NO",PATENTS AND DEVELOPMENTS A/S,F,"4,193,162",#4193162,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
200,"St. Paul, MN",MINNESOTA MINING AND MANUFACTURING COMPANY,G,"4,193,330",#4193330,True,1980,Physics
204,"Decatur, GA","THE WOODMAN COMPANY, INC.",G,"4,193,465",#4193465,True,1980,Physics
205,"San Gabriel, CA",WHAM-O MFG. CO.,B,"4,193,517",#4193517,True,1980,"Performing Operations, Transporting"
208,"Paris, FR",ORGANISATION EUROPEENNE DE RECHERCHES SPATIALES,H,"4,193,820",#4193820,True,1980,Electricity
209,"Mannheim, DE",BABCOCK-BROWN BOVERI REAKTOR GMBH,G,"4,193,843",#4193843,True,1980,Physics
210,"New York, NY",MOBIL OIL CORPORATION,C,"4,193,882",#4193882,True,1980,"Chemistry, Metallurgy"
212,"Lancaster, PA",ARMSTRONG CORK COMPANY,G,"4,194,307",#4194307,True,1980,Physics
213,"New York, NY",INTERNATIONAL TELEPHONE AND TELEGRAPH CORPORATION,G,"4,194,385",#4194385,True,1980,Physics
216,"Yokohama, JP","NISSAN MOTOR COMPANY, LIMITED",B,"4,194,608",#4194608,True,1980,"Performing Operations, Transporting"
218,"Salt Lake City, UT",WILLIAMSEN TRUCK EQUIPMENT CORPORATION,B,"4,194,787",#4194787,True,1980,"Performing Operations, Transporting"
221,"Ardsley, NY",CIBA-GEIGY CORPORATION,C,"4,195,016",#4195016,True,1980,"Chemistry, Metallurgy"
222,"Indianapolis, IN",P. R. MALLORY & CO. INC.,H,"4,195,120",#4195120,True,1980,Electricity
224,"New York, NY","WESTERN ELECTRIC COMPANY, INCORPORATED",H,"4,195,201",#4195201,True,1980,Electricity
225,"New York, NY",U.S. PHILIPS CORPORATION,H,"4,195,222",#4195222,True,1980,Electricity
226,"Culver City, CA",HUGHES AIRCRAFT COMPANY,G,"4,195,273",#4195273,True,1980,Physics
227,"Des Plaines, IL","LITTELFUSE, INC.",G,"4,195,285",#4195285,True,1980,Physics
229,"Frankfurt, DE",LICENTIA PATENT-VERWALTUNGS-G.M.B.H.,H,"4,195,306",#4195306,True,1980,Electricity
230,JP,"OLYMPUS OPTICAL CO., LTD.",G,"4,195,319",#4195319,True,1980,Physics
231,"Des Moines, IA","EMCO SPECIALTIES, INC.",A,"4,195,433",#4195433,True,1980,Human Necessities
232,"Hollis, NY",IDEAL TOY CORPORATION,A,"4,195,437",#4195437,True,1980,Human Necessities
234,"Pittsburgh, PA",H. H. ROBERTSON COMPANY,E,"4,195,460",#4195460,True,1980,Fixed Construction
235,"Detroit, MI",GENERAL MOTORS CORPORATION,F,"4,195,473",#4195473,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
236,"Tokyo, JP","OLYMPUS OPTICAL CO., LTD.",G,"4,195,796",#4195796,True,1980,Physics
237,"Frankfurt am Main, DE",BRAUN AKTIENGESELLSCHAFT,G,"4,195,846",#4195846,True,1980,Physics
240,"New York, NY",AMERICAN HOME PRODUCTS CORPORATION,C,"4,196,122",#4196122,True,1980,"Chemistry, Metallurgy"
242,"Leverkusen, DE",BAYER AKTIENGESELLSCHAFT,C,"4,196,150",#4196150,True,1980,"Chemistry, Metallurgy"
243,"Asheville, NC",AKZONA INCORPORATED,D,"4,196,241",#4196241,True,1980,"Textiles, Paper"
244,"Philadelphia, PA",FMC CORPORATION,A,"4,196,284",#4196284,True,1980,Human Necessities
245,"Libertyville, IL",INTERNATIONAL MINERALS AND CHEMICAL CORPORATION,C,"4,196,295",#4196295,True,1980,"Chemistry, Metallurgy"
246,"Stamford, CT",XEROX CORPORATION,G,"4,196,357",#4196357,True,1980,Physics
247,"Moriguchi, JP","TAE-WEON, MO",G,"4,196,378",#4196378,True,1980,Physics
248,"Kanagawa, JP",TOKYO SHIBAURA DENKI KABUSHIKI KAISHA,G,"4,196,387",#4196387,True,1980,Physics
249,"Washington, DC",THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SECRETARY OF THE ARMY,H,"4,196,399",#4196399,True,1980,Electricity
251,"Stamford, CT",XEROX CORPORATION,H,"4,196,452",#4196452,True,1980,Electricity
252,"Menasha, WI",MENASHA CORPORATION,B,"4,196,563",#4196563,True,1980,"Performing Operations, Transporting"
253,"McNeal, AZ",RODRIQUEZ; HENRY,A,"4,196,570",#4196570,True,1980,Human Necessities
254,"Neuchatel, CH",EBAUCHES S.A.,G,"4,196,580",#4196580,True,1980,Physics
258,"Birmingham, GB2",LUCAS INDUSTRIES LIMITED,F,"4,196,708",#4196708,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
260,"Dallas, TX","DRESSER INDUSTRIES, INC.",B,"4,196,914",#4196914,True,1980,"Performing Operations, Transporting"
261,"Saint Paul, MN",GROSS-GIVEN MANUFACTURING COMPANY,G,"4,196,951",#4196951,True,1980,Physics
262,JP,ASAHI KOGAKU KOGYO KABUSHIKI KAISHA,G,"4,196,988",#4196988,True,1980,Physics
263,"Linz, AT",VOEST-ALPINE AKTIENGESELLSCHAFT,B,"4,197,084",#4197084,True,1980,"Performing Operations, Transporting"
264,"North Tonawanda, NY",BATTENFELD GREASE & OIL CORP. OF NEW YORK,C,"4,197,134",#4197134,True,1980,"Chemistry, Metallurgy"
266,"Karlsruhe, DE",GESELLSCHAFT FUR KERNFORSCHUNG M.B.H.,B,"4,197,195",#4197195,True,1980,"Performing Operations, Transporting"
267,"Katowice, PL","PRZEDSIEBIORSTWO INSTALACJIPRZEMYSLOWYCH ""INSTAL""",B,"4,197,202",#4197202,True,1980,"Performing Operations, Transporting"
269,"Welwyn Garden City, GB2",SMITH KLINE & FRENCH LABORATORIES LIMITED,C,"4,197,305",#4197305,True,1980,"Chemistry, Metallurgy"
270,"St. Louis, MO",RALSTON PURINA COMPANY,A,"4,197,320",#4197320,True,1980,Human Necessities
271,"Palo Alto, CA",HEWLETT-PACKARD COMPANY,G,"4,197,493",#4197493,True,1980,Physics
272,"Stone Ridge, NY","FTS SYSTEMS, INC.",F,"4,197,658",#4197658,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
275,"Tokyo, JP","THE FURUKAWA ELECTRIC CO., LTD.",B,"4,197,934",#4197934,True,1980,"Performing Operations, Transporting"
276,DE,ORENSTEIN & KOPPEL AG,B,"4,197,953",#4197953,True,1980,"Performing Operations, Transporting"
277,"New York, NY",UNION CARBIDE CORPORATION,A,"4,197,983",#4197983,True,1980,Human Necessities
278,"Bethlehem, PA","BETHLEHEM FABRICATORS, INC.",B,"4,198,012",#4198012,True,1980,"Performing Operations, Transporting"
279,"Cleveland, OH",HARRIS CORPORATION,B,"4,198,039",#4198039,True,1980,"Performing Operations, Transporting"
281,"Tokyo, JPToyota Jidosha Kogyo Kabushiki Kaisha","NIPPON PISTON RING CO., LTD.",F,"4,198,195",#4198195,True,1980,"Mechanical Engineering, Lighting, Heating, Weapons, Blasting Engines or Pumps"
282,"London, GB2",NATIONAL RESEARCH DEVELOPMENT CORPORATION,C,"4,198,244",#4198244,True,1980,"Chemistry, Metallurgy"
283,"Osaka, JP",TOYO ALUMINUM KABUSHIKI KAISHA,C,"4,198,278",#4198278,True,1980,"Chemistry, Metallurgy"
284,"Toledo, OH",OWENS-CORNING FIBERGLAS CORPORATION,C,"4,198,490",#4198490,True,1980,"Chemistry, Metallurgy"
285,JP,"TAKEDA CHEMICAL INDUSTRIES, LTD.",C,"4,198,514",#4198514,True,1980,"Chemistry, Metallurgy"
286,"Montreal, CA",NORTHERN TELECOM LIMITED,G,"4,198,630",#4198630,True,1980,Physics
288,"San Jose, CAMagnuson; Robert M.",HANSCOM; GENEVIEVE I.,B,"4,199,055",#4199055,True,1980,"Performing Operations, Transporting"
